time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,MA,MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Aroon Up,Aroon Down,K,D,Plot
1535356800,63.72,64.52,61.79,63.92,66.97549999999998,75.93972551032765,58.01127448967232,66.97549999999998,75.93972551032765,58.01127448967232,64.33444444444439,64.33444444444439,62452,65610.75,62452,65610.75,62452,65610.75,-0.5931542322271051,-0.30996200563774323,0.28319222658936183,-0.8877941176470188,1.6384683882457702,0,64.28571428571429,22.536583971984488,22.156286404793907,-9.474450928825384
1535443200,63.83,63.83,62.26,62.42,67.11399999999998,75.69878514582712,58.52921485417283,67.11399999999998,75.69878514582712,58.52921485417283,63.74111111111105,63.74111111111105,44063,65299.9,44063,65299.9,44063,65299.9,-0.6340665950195769,-0.5093910171851093,0.12467557783446759,-0.9394999999999669,0.9203135205747878,0,57.142857142857146,20.67824886919617,21.824364292577453,-9.297231429583212
1535529600,62.08,62.39,60.76,61.01,67.14849999999998,75.62870347633266,58.66829652366731,67.14849999999998,75.62870347633266,58.66829652366731,63.063333333333276,63.063333333333276,34706,64603.9,34706,64603.9,34706,64603.9,-0.717590402184977,-0.7723124248967537,-0.054722022711776674,-1.340499999999949,1.4686971235194586,0,50,12.70880675396189,18.641213198380846,-11.916791620517792
1535616000,60.54,60.94,59.56,60.65,66.68549999999999,75.51597558175672,57.855024418243254,66.68549999999999,75.51597558175672,57.855024418243254,63.01222222222217,63.01222222222217,46944,61388.05,46944,61388.05,46944,61388.05,-0.7547997004855593,-0.9982216483187258,-0.24342194783316654,-2.1339705882352504,0.5779569892473119,7.142857142857143,42.857142857142854,5.0429771278151465,12.810010916991066,-8.548637446631194
1535702400,60.45,61.1,59.74,60.36,66.21849999999998,75.3448295469762,57.092170453023755,66.21849999999998,75.3448295469762,57.092170453023755,62.86333333333328,62.86333333333328,36624,59014.95,36624,59014.95,36624,59014.95,-0.7548418113235383,-1.1869742119875895,-0.4321324006640511,-2.868499999999962,1.165925925925926,0,35.714285714285715,0.139915718657873,5.963899866811633,-9.815804483644792
1536048000,59.41,59.67,57.62,57.81,65.68799999999999,75.45198607127254,55.92401392872743,65.68799999999999,75.45198607127254,55.92401392872743,62.12888888888884,62.12888888888884,52312,58760.45,52312,58760.45,52312,58760.45,-0.874093524639421,-1.5247493064633275,-0.6506557818239065,-3.631088235294058,0.559286463798531,0,100,-2.7144952952085077e-14,1.7276309488243273,-4.450592099107924
1536134400,57.09,57.39,55.46,56.15,64.69899999999998,74.11377116025679,55.28422883974318,64.69899999999998,74.11377116025679,55.28422883974318,61.217777777777734,61.217777777777734,51102,55564.2,51102,55564.2,51102,55564.2,-1.0030221786972398,-1.9044335051954562,-0.9014113264982164,-4.726264705882308,0.8235294117647058,0,100,-2.7144952952085077e-14,0.04663857288593618,-1.7411809683522523
1536220800,57,58.25,55.81,56.23,63.80599999999998,72.86992497762452,54.74207502237545,63.80599999999998,72.86992497762452,54.74207502237545,60.34888888888884,60.34888888888884,53846,53374.6,53846,53374.6,53846,53374.6,-1.0179286731698796,-2.173822167960566,-1.1558934947906863,-5.436441176470538,0.7022504327755338,0,92.85714285714286,0.575002517134127,0.19166750571135416,0.658811696306801
1536307200,51.92,53.69,50.46,52.65,62.91299999999999,72.6529940451729,53.17300595482707,62.91299999999999,72.6529940451729,53.17300595482707,59.02222222222216,59.02222222222216,87352,53381.6,87352,53381.6,87352,53381.6,-1.1918394481394636,-2.645692804965016,-1.4538533568255523,-6.734676470588177,0.5069053708439898,28.571428571428573,100,0.575002517134127,0.3833350114227389,10.728806009313274
1536566400,54.82,57.24,54.21,57.1,62.21149999999999,71.49338833158454,52.929611668415426,62.21149999999999,71.49338833158454,52.929611668415426,58.26444444444439,58.26444444444439,73789,54006.3,73789,54006.3,73789,54006.3,-0.9411220518594081,-2.6302559216498125,-1.6891338697904044,-7.551911764705828,1.6428571428571428,21.428571428571427,92.85714285714286,21.476132947708617,7.542045993992287,11.298889943198159
